artifact/adapter_dir,artifact/adapter_state_path,artifact/alpaca_eval_outputs_path,artifact/alpaca_eval_result_dir,artifact/lm_eval_result_path,artifact/merged_model_dir,eval/alpaca_eval_returncode,"eval/lm_eval/hellaswag/acc,none","eval/lm_eval/hellaswag/acc_norm,none","eval/lm_eval/hellaswag/acc_norm_stderr,none","eval/lm_eval/hellaswag/acc_stderr,none","eval/lm_eval/piqa/acc,none","eval/lm_eval/piqa/acc_norm,none","eval/lm_eval/piqa/acc_norm_stderr,none","eval/lm_eval/piqa/acc_stderr,none",eval/lm_eval_returncode,export/adapter_dir,export/adapter_state_path,export/merged_model_dir,round,train/avg_client_loss,train/export_adapter_dir,train/export_merged_model_dir,train/num_selected_clients,train/num_success_clients
outputs/fedavg_sft_dolly/exports/round_1/adapter_model,outputs/fedavg_sft_dolly/exports/round_1/adapter_state.pt,outputs/fedavg_sft_dolly/eval/round_1/alpaca_eval/alpaca_eval_outputs.json,outputs/fedavg_sft_dolly/eval/round_1/alpaca_eval/alpaca_eval_result,outputs/fedavg_sft_dolly/eval/round_1/lm_eval/lm_eval_result_2026-04-21T16-48-23.848020.json,outputs/fedavg_sft_dolly/exports/round_1/merged_model,1.0,0.2891854212308305,0.31139215295757816,0.004621163476949168,0.004524575892952919,0.6289445048966268,0.6251360174102285,0.011294565805619015,0.011271222398600523,0.0,outputs/fedavg_sft_dolly/exports/round_1/adapter_model,outputs/fedavg_sft_dolly/exports/round_1/adapter_state.pt,outputs/fedavg_sft_dolly/exports/round_1/merged_model,1,nan,outputs/fedavg_sft_dolly/exports/round_1/adapter_model,outputs/fedavg_sft_dolly/exports/round_1/merged_model,2,2
outputs/fedavg_sft_dolly/exports/round_2/adapter_model,outputs/fedavg_sft_dolly/exports/round_2/adapter_state.pt,outputs/fedavg_sft_dolly/eval/round_2/alpaca_eval/alpaca_eval_outputs.json,outputs/fedavg_sft_dolly/eval/round_2/alpaca_eval/alpaca_eval_result,outputs/fedavg_sft_dolly/eval/round_2/lm_eval/lm_eval_result_2026-04-22T00-41-30.436118.json,outputs/fedavg_sft_dolly/exports/round_2/merged_model,1.0,0.2894841665006971,0.31079466241784504,0.004618730353217026,0.004525960965551725,0.6273122959738846,0.6196953210010882,0.01132662089257032,0.01128131833289774,0.0,outputs/fedavg_sft_dolly/exports/round_2/adapter_model,outputs/fedavg_sft_dolly/exports/round_2/adapter_state.pt,outputs/fedavg_sft_dolly/exports/round_2/merged_model,2,5.162937974929809,outputs/fedavg_sft_dolly/exports/round_2/adapter_model,outputs/fedavg_sft_dolly/exports/round_2/merged_model,2,2
outputs/fedavg_sft_dolly/exports/round_3/adapter_model,outputs/fedavg_sft_dolly/exports/round_3/adapter_state.pt,outputs/fedavg_sft_dolly/eval/round_3/alpaca_eval/alpaca_eval_outputs.json,outputs/fedavg_sft_dolly/eval/round_3/alpaca_eval/alpaca_eval_result,,outputs/fedavg_sft_dolly/exports/round_3/merged_model,1.0,,,,,,,,,0.0,outputs/fedavg_sft_dolly/exports/round_3/adapter_model,outputs/fedavg_sft_dolly/exports/round_3/adapter_state.pt,outputs/fedavg_sft_dolly/exports/round_3/merged_model,3,3.733459013700485,outputs/fedavg_sft_dolly/exports/round_3/adapter_model,outputs/fedavg_sft_dolly/exports/round_3/merged_model,2,2
